brand,title,content,content_unit,cat_name,cat_id,item_id,mrp,cp
Haldiram,Thandai Kesaria,700,ml,Squashes & Sharbats,575,1318098,262.5,270
Haldiram,Thandai Kesaria,1,kg,Squashes & Sharbats,575,1318097,262.5,270
Haldiram,Mango Panna,750,ml,Squashes & Sharbats,575,93460,132.5,135
Haldiram,Mango Panna,700,ml,Squashes & Sharbats,575,1318040,131,135
Haldiram,Rose Syrup Sharbat,700,ml,Squashes & Sharbats,575,1318090,131,135
Haldiram,Khus Syrup Sharbat,700,ml,Squashes & Sharbats,575,1318037,131,135
Haldiram,Khus Syrup Sharbat,1,Lt,Squashes & Sharbats,575,1318036,131,135
Haldiram,Lemon Crush Sharbat,700,ml,Squashes & Sharbats,575,1318038,131,135
Haldiram,Lemon Crush Sharbat,1,kg,Squashes & Sharbats,575,94348,132.5,135
Horlicks,Classic Malt,1,kg,Health Drinks,593,93919,397.5,405
Horlicks,Cocolate Delight,1,kg,Health Drinks,593,809462,363,370
Horlicks,Kesar Badam Jar,500,gm,Health Drinks,593,1318162,243,250
Horlicks,Kesar Badam Jar,400,gm,Health Drinks,593,81884,246,250
Horlicks,Mother's Health Drink- Original,500,gm,Health Drinks,593,1318164,440.5,450
Horlicks,Mother's Health Drink- Original,200,gm,Health Drinks,593,1318163,193.5,199
Horlicks,Chocolate Jar,500,gm,Health Drinks,593,809461,211,215
Horlicks,Elaichi Flavour,500,gm,Health Drinks,593,1318155,222.5,229
Horlicks,Junior Original- Stage1,500,gm,Health Drinks,593,1318160,238,245
Horlicks,Junior456 Stage2 Chocolate,500,gm,Health Drinks,593,1318158,248,255
Horlicks,Health Drink- Chocolate Flavour,1,kg,Health Drinks,593,1318156,379,390
Horlicks,Health Drink- Chocolate Flavour,500,gm,Health Drinks,593,1318157,225,230
Horlicks,Chocolate Refill,1,kg,Health Drinks,593,1318154,387.5,396
Horlicks,Chocolate Refill,500,gm,Health Drinks,593,1431043,210,215
Horlicks,Junior Health Drink- Chocolate( Stage1),500,gm,Health Drinks,593,1318159,257.5,265
Horlicks,Original,1,kg,Health Drinks,593,1318165,387.5,396
Horlicks,Original,500,gm,Health Drinks,593,1318166,210,215
Horlicks,Junior Original- Stage2,500,gm,Health Drinks,593,1318161,248,255
Nestle,Everyday Dairy Whitener,950,gm,Dairy Whiteners,591,809282,417,425
Nestle,Everyday Dairy Whitener,1,kg,Dairy Whiteners,591,1318518,416,425
Nestle,Everyday Dairy Whitener,400,gm,Dairy Whiteners,591,1318520,180,184
